Particle No.,Measured Volume (cm3),Measured Weight (g),Measured' Volume (cm3),Reconstructed Volume (cm3),Volume1 (cm3),Volume2 (cm3),Volume3 (cm3),,Dig1,Dig2,Dig3,Over1,Over2,Over3,Count1,Count2,Count3,Correct Volume,Dig,Actual,Count
,,,,,,,,,,,,,,,,,,0.915744,0.042128,1.215784832,115
,,,,,,,,,,,,,,,,,,0.891504,0.054248,1.25,156
,,,,,,,,,,,,,,,,,,0.925756,0.037122,1.114854446,181
,,,,,,,,,,,,,,,,,,0.942432,0.028784,1.143871782,148
,,,,,,,,,,,,,,,,,,0.934414,0.032793,0.986215597,149
,,,,,,,,,,,,,,,,,,0.951664,0.024168,1.000293212,64
,,,,,,,,,,,,,,,,,,0.923872,0.038064,0.986219029,103
,,,,,,,,,,,,,,,,,,0.945192,0.027404,1.017226213,74
,,,,,,,,,,,,,,,,,,0.950988,0.024506,1.079353242,155
,,,,,,,,,,,,,,,,,,0.951686,0.024157,1.054269347,150
,,,,,,,,,,,,,,,,,,0.93328,0.03336,1.040574896,206
,,,,,,,,,,,,,,,,,,0.941732,0.029134,1.124746597,87
,,,,,,,,,,,,,,,,,,0.911242,0.044379,1.055459021,126
,,,,,,,,,,,,,,,,,,0.93446,0.03277,1.055097017,96
,,,,,,,,,,,,,,,,,,0.935042,0.032479,1.154860544,139
,,,,,,,,,,,,,,,,,,0.91879,0.040605,1.13478819,149
,,,,,,,,,,,,,,,,,,0.946066,0.026967,1.174174349,117
,,,,,,,,,,,,,,,,,,0.913204,0.043398,0.991203704,111
,,,,,,,,,,,,,,,,,,0.91104,0.04448,1.114660494,126
,,,,,,,,,,,,,,,,,,0.900398,0.049801,1.041820988,135
,,,,,,,,,,,,,,,,,,0.938768,0.030616,1.098741974,98
,,,,,,,,,,,,,,,,,,0.932328,0.033836,1.124885336,114
,,,,,,,,,,,,,,,,,,0.90694,0.04653,1.009631765,149
,,,,,,,,,,,,,,,,,,0.954184,0.022908,1.070627231,56
,,,,,,,,,,,,,,,,,,0.950554,0.024723,1.075981642,61
,,,,,,,,,,,,,,,,,,0.927836,0.036082,1.078616352,99
,,,,,,,,,,,,,,,,,,0.973066,0.013467,1.175838611,73
,,,,,,,,,,,,,,,,,,0.964174,0.017913,1.126859019,86
,,,,,,,,,,,,,,,,,,0.95752,0.02124,1.103448276,138
,,,,,,,,,,,,,,,,,,0.963168,0.018416,1.213444782,236
,,,,,,,,,,,,,,,,,,0.964784,0.017608,1.185796954,184
,,,,,,,,,,,,,,,,,,0.91853,0.040735,1.14076669,422
,,,,,,,,,,,,,,,,,,0.940638,0.029681,1.451986469,352
,,,,,,,,,,,,,,,,,,0.957292,0.021354,1.24494432,238
,,,,,,,,,,,,,,,,,,0.964732,0.017634,1.271735105,180
